"Status","Suburb","Place","Date","Arrival.Time","Departure.Time","table","type","lat","lon"
"","Gungahlin","Services Australia, 5 Fussell Lane, Gungahlin","Thursday 12 August 2021","3.10pm","3.30pm","Casual Contacts","Casual Contacts ",-35.1837955,149.1353828
"","Gungahlin","Vodafone, 18 Hibberson St, Gungahlin","Thursday 12 August 2021","3.20pm","3.45pm","Casual Contacts","Casual Contacts ",-35.1859633,149.1357952
"","Gungahlin","Reject Shop, Gungahlin Village, Corner Hibberson Street & Gungahlin Place Shop 2, 46 Hibberson St, Gungahlin","Thursday 12 August 2021","3.45pm","4.10pm","Casual Contacts","Casual Contacts ",-35.1863723,149.1359758
"","Gungahlin","Mr Sushi, Gungahlin","Thursday 12 August 2021","4:00pm","4.15pm","Casual Contacts","Casual Contacts ",-35.1848056,149.1344577
"","Dickson","Woolworths Dickson, 1 Dickson Place","Wednesday 11 August 2021","3:00pm","3.30pm","Casual Contacts","Casual Contacts ",-35.249974,149.1386251
"","Braddon","Crust Pizza, 28 Mort Street","Friday 13 August 2021","5.30pm","5.45pm","Casual Contacts","Casual Contacts ",-35.2746249,149.1314767
"","Canberra City","Coles Canberra Civic, Bunda Street & Petrie Street","Friday 13 August 2021","6.55pm","7.30pm","Casual Contacts","Casual Contacts ",-35.2784476,149.1343475
"","Braddon","Officeworks Braddon, 30 Mort Street","Monday 9 August 2021","3.15pm","4:00pm","Casual Contacts","Casual Contacts ",-35.2742758,149.1314656
"","Fyshwick","Seears Workwear, 60 Barrier Street","Tuesday 10 August 2021","4:00pm","4.15pm","Casual Contacts","Casual Contacts ",-35.3292705,149.1739102
"","Braddon","First Choice Liquor, 48 Mort Street","Tuesday 10 August 2021","4.25pm","4.45pm","Casual Contacts","Casual Contacts ",-35.2716667,149.1319444
"","Melba","Cafe Mame, 2/4-6 Melba Ct","Wednesday 11 August 2021","8.50am","9.15am","Casual Contacts","Casual Contacts ",-35.2082908,149.0485658
"","Melba","IGA Melba, 1/4-6 Melba Ct","Wednesday 11 August 2021","8.50am","9.15am","Casual Contacts","Casual Contacts ",-35.2081529,149.0486515
"","Braddon","Beyond Pharmacy, 4/18     Lonsdale Street","Thursday 12 August 2021","3.45pm","4:00pm","Casual Contacts","Casual Contacts ",-35.2736557,149.132945
"","Braddon","7-Eleven Braddon, 20 Mort Street","Thursday 12 August 2021","3.45pm","4:00pm","Casual Contacts","Casual Contacts ",-35.275691,149.1316658
"","Phillip","Elite Supplements, 13 Keltie St, Phillip","Wednesday 11 August 2021","11.15am","12.15pm","Casual Contacts","Casual Contacts ",-35.3464688,149.0866406
"","Phillip","Rebel Sport, SHOP LM2 Keltie St, Phillip","Wednesday 11 August 2021","11.15am","12.15pm","Casual Contacts","Casual Contacts ",-35.3468472,149.0860195
"","Belconnen","Westfield Aldi, Benjamin Way, Belconnen","Friday 13 August 2021","8.45am","9.20am","Casual Contacts","Casual Contacts ",-35.2382964,149.0638025
"","Belconnen","Westfield Woolworths, Benjamin Way, Belconnen","Friday 13 August 2021","9.05am","9.45am","Casual Contacts","Casual Contacts ",-35.2386596,149.0652762
"","Belconnen","Westfield Coles, Benjamin Way, Belconnen","Friday 13 August 2021","9.35am","10:00am","Casual Contacts","Casual Contacts ",-35.237949,149.064837
"","Belconnen","Westfield Post Office, Benjamin Way, Belconnen","Friday 13 August 2021","9.50am","10.15am","Casual Contacts","Casual Contacts ",-35.238743,149.0661145
"","Majura Park","Costco, 39-41 Mustang Ave, Majura Park","Friday 13 August 2021","12:00pm","1:00pm","Casual Contacts","Casual Contacts ",-35.2972375,149.1905839
"","Belconnen","Coles at Belconnen Westfield, Benjamin Way, Belconnen","Saturday 14 August 2021","9.20am","10:00am","Casual Contacts","Casual Contacts ",-35.237949,149.064837
